experiment,model_family,path,status,runnable_now,notes
A,PCA baseline,implementation.notebook_support exact_isotropic_subspace,ready,True,Exact isotropic SVD baseline exists in implementation helpers.
A/B,EMPCA,src/EMPCA/empca_TCY_optimized.py,ready,True,Weighted EMPCA solver is importable and already wired into implementation.notebook_support.
C,NFPA demo,src/NFPA/nfpa_demo.py,partial,True,"Pure numpy demo is runnable as a script, but it executes on import and hardcodes a plot write side effect."
D,Linear AE,implementation.notebook_support exact_weighted_subspace,partial,True,"Exact weighted SVD gives the linear-AE optimum, but there is no standalone training wrapper under src/."
D,CNN backbone,src/CNN/resnet_1d.py,blocked,False,"Torch installed? False. Local norm dependency present? False. File defines a ResNet backbone, not a reconstruction autoencoder or trainer."
D/E,model_original,src/transformer/model_original.py,blocked,False,"Requires torch and reconstruction.training.muon; torch installed=False, muon module present=True. These files also define transformer backbones only, not end-to-end reconstruction experiments."
D/E,model_pairwise,src/transformer/model_pairwise.py,blocked,False,"Requires torch and reconstruction.training.muon; torch installed=False, muon module present=True. These files also define transformer backbones only, not end-to-end reconstruction experiments."
D/E,model_pairwise_channel_masking,src/transformer/model_pairwise_channel_masking.py,blocked,False,"Requires torch and reconstruction.training.muon; torch installed=False, muon module present=True. These files also define transformer backbones only, not end-to-end reconstruction experiments."
D/E,model_triangular_pairwise,src/transformer/model_triangular_pairwise.py,blocked,False,"Requires torch and reconstruction.training.muon; torch installed=False, muon module present=True. These files also define transformer backbones only, not end-to-end reconstruction experiments."
A,Measured MMC PSD,data/Noise_PSD/noise_psd_from_MMC.npy,ready,True,The measured MMC PSD is available in the new data/Noise_PSD layout.
B/D/E,Position-aware simulator,QP_simulator/QPSimulator.py,partial,True,"Current simulator exposes amplitude, tau_decay, and t0. There is no native detector-position latent, so coverage notebooks must synthesize a position-like distortion."
