epoch,train_loss,train_grad_norm,eval_loss,weighted_residual_mean,reconstruction_mse
1,8372141.032465278,177862659.49444443,61077.054296875,1031321414.4,61077.054296875
2,126301.38046875,30116944.755555555,191990.36484375,167672348.8,191990.36484375
3,65424.1654296875,26266462.28888889,94330.165625,36947180.0,94330.165625
4,65265.36716579861,26814537.494444445,215180.71171875,36532146.8,215180.71171875
5,70607.73356255425,26691421.56388889,109079.7890625,87853735.6,109079.7890625
6,59888.750651041664,26129895.21111111,184656.84453125,65452005.8,184656.84453125
7,89588.93716430664,27525161.786111113,131096.992578125,457129140.8,131096.992578125
8,140737.71848958332,25511962.508333333,135738.63671875,192747508.8,135738.63671875
9,62611.12614474826,26436039.327777777,26052.19091796875,20858690.1,26052.19091796875
10,57412.6108452691,25153729.366666667,73486.291796875,28709166.4,73486.291796875
11,49762.11069878472,24953584.266666666,40485.7271484375,9665435.15,40485.7271484375
12,61498.93531188965,25144652.598611113,62558.8515625,397895046.4,62558.8515625
13,53013.548719618055,24808237.1,33388.53828125,17161920.8,33388.53828125
14,51623.89951171875,24551824.855555557,104007.99140625,140900660.8,104007.99140625
15,46412.296006944445,24293855.222222224,51030.7560546875,41338666.8,51030.7560546875
16,48722.26438259549,24144871.911111113,143551.39296875,20291610.6,143551.39296875
17,57421.97838880751,24960373.23888889,20768.31220703125,5574154.8,20768.31220703125
18,50349.83315192329,23838584.208333332,97921.51875,16072606.45,97921.51875
19,47000.374435763886,23994004.51111111,30421.324609375,5643075.725,30421.324609375
20,54494.39836391873,23907160.06388889,130000.990625,63217319.4,130000.990625
21,42777.89372829861,23015113.48888889,68988.240234375,14250480.1,68988.240234375
22,40071.91566840278,22822265.044444446,95242.34609375,18366664.6,95242.34609375
23,44930.28570963542,23454274.355555557,28949.93466796875,6272379.9,28949.93466796875
24,50678.929387071395,23278405.091666665,156619.36875,24090333.9,156619.36875
25,48678.10437147353,22918203.10277778,44234.7005859375,25659474.7,44234.7005859375
