k,seed,val_residual_mean,val_residual_std,n_iter_used
1,314159,91977.57705893114,68029.72172945345,8
1,314160,91977.57705893114,68029.72172945345,8
1,314161,91977.57705893114,68029.72172945345,8
2,314159,3703178554.561478,872982061.902943,7
2,314160,3703178554.561478,872982061.902943,7
2,314161,3703178554.561478,872982061.902943,7
3,314159,37106631016.72153,8783343904.11008,7
3,314160,37106631016.72153,8783343904.11008,7
3,314161,37106631016.72153,8783343904.11008,7
4,314159,37131741598.18608,8789289075.655285,7
4,314160,37131741598.18608,8789289075.655285,7
4,314161,37131741598.18608,8789289075.655285,7
5,314159,37252177677.566795,8817824148.167976,7
5,314160,37252177677.566795,8817824148.167976,7
5,314161,37252177677.566795,8817824148.167976,7
6,314159,37325626254.89973,8835199495.967405,9
6,314160,37325626254.89973,8835199495.967405,9
6,314161,37325626254.89973,8835199495.967405,9
