group,model,block_id,n_windows,start_seconds,stop_seconds,score_mean,score_std
synthetic,local_radius_64s,0,13,0.0,48.0,-0.6523905947605242,1.2705764094536667
synthetic,local_radius_64s,1,13,52.0,100.0,-0.0049775125711787925,0.907421468332305
synthetic,local_radius_64s,2,13,104.0,152.0,0.3156977558865944,0.9234456546410392
synthetic,local_radius_64s,3,13,156.0,204.0,0.4469829300565657,1.3491262059546034
synthetic,local_radius_64s,4,12,208.0,252.0,0.5021869766746515,0.9557691933173916
H1,local_radius_64s,0,13,0.0,48.0,0.4423624663744148,5.8785966276309125
H1,local_radius_64s,1,13,52.0,100.0,-0.42549300886563757,3.349156820837536
H1,local_radius_64s,2,12,104.0,156.0,1.026848337502189,7.222649980352713
H1,local_radius_64s,3,12,160.0,204.0,1.8657163949495168,12.806180670887768
H1,local_radius_64s,4,12,208.0,252.0,-2.9036776994233855,14.554248751026222
L1,local_radius_64s,0,13,0.0,48.0,1.5537601901190636,11.038296234844246
L1,local_radius_64s,1,13,52.0,100.0,-0.4442274727862961,8.616950241776257
L1,local_radius_64s,2,12,104.0,156.0,1.7295243691274944,11.943702273974836
L1,local_radius_64s,3,12,160.0,204.0,-0.5887046347818242,7.909034719571559
L1,local_radius_64s,4,12,208.0,252.0,-0.17577237235401436,2.6755511172219717
