detector,model,rank_by_abs_score,evaluation_index,start_seconds,score,abs_score,template_projected_psd_ratio,band_20_80_observed_over_model,band_80_150_observed_over_model,band_150_300_observed_over_model,band_300_512_observed_over_model
H1,global_leave_one_out,1,21,84.0,5.145043079913595,5.145043079913595,0.7382169762082158,0.7395389560310873,0.8849631478084755,0.9936333304157491,0.8547213160679361
H1,global_leave_one_out,2,43,180.0,4.371768957637522,4.371768957637522,0.7078001645276987,0.7115122086110957,0.6854885154981919,0.9230930465785094,0.6163111076610229
H1,global_leave_one_out,3,8,32.0,3.930523727087348,3.930523727087348,0.6890958446808427,0.6881488267901698,0.932331487882687,0.9694695191422329,0.4689386818279492
H1,global_leave_one_out,4,2,8.0,3.5613559978981084,3.5613559978981084,0.7040876967576278,0.7067886772259899,1.1048517236499864,0.8857088835436588,0.6993724569898817
H1,global_leave_one_out,5,20,80.0,-3.509680587081879,3.509680587081879,0.732926748148252,0.7475253064446251,0.8655286882257551,0.8568126263614871,0.536735630672451
H1,local_radius_64s,1,42,176.0,34.78404461869039,34.78404461869039,0.7164153448710869,0.7342830332005607,0.991079500590641,0.967176306527135,0.9888196369787897
H1,local_radius_64s,2,56,232.0,-32.63267384445311,32.63267384445311,0.7185937011231951,0.7225841727086164,1.000406373726056,1.112205005410365,0.713928891974405
H1,local_radius_64s,3,52,216.0,18.150616347161357,18.150616347161357,0.6965060374685713,0.6919828807599806,1.0064068921249667,0.8411251809199082,1.0931128627947977
H1,local_radius_64s,4,61,252.0,-17.562839781723522,17.562839781723522,0.697209216191335,0.7075697129465226,0.8483307962305421,0.9244313348732914,0.5949645701776162
H1,local_radius_64s,5,41,172.0,-14.950697684477952,14.950697684477952,0.7178469190817958,0.7299299420480687,1.017912572090569,0.8766210021241664,0.9740213788085113
L1,global_leave_one_out,1,47,196.0,-17.46620343905767,17.46620343905767,0.7033826620541601,0.7727774458381436,0.8023908521016911,0.7678014281370098,0.6194575397296916
L1,global_leave_one_out,2,8,32.0,-17.26271367757755,17.26271367757755,0.7093018302703821,0.749760406423054,1.113961321248694,0.7891204177311978,0.6097939859282464
L1,global_leave_one_out,3,10,40.0,14.640687069343997,14.640687069343997,0.7167965402904949,0.6976597704996186,1.2609911752630363,0.8389625644045641,0.7038195621323067
L1,global_leave_one_out,4,39,164.0,14.605393088017665,14.605393088017665,0.655947607335081,0.6699566242325757,0.9747140868945146,0.7726593503395115,0.813701867773954
L1,global_leave_one_out,5,16,64.0,-14.476211590178501,14.476211590178501,0.6650923984728091,0.665103179009238,1.0260109196863973,0.7604534882100608,0.716955902804902
L1,local_radius_64s,1,34,144.0,30.869958196151558,30.869958196151558,0.6601614320914461,0.6597799375138841,1.0844036245853306,0.7791156492556469,0.6378454328725487
L1,local_radius_64s,2,16,64.0,-22.245106330381233,22.245106330381233,0.6700154665890938,0.6779068805502511,0.9974448085855604,0.7760520118563299,0.7164865824118449
L1,local_radius_64s,3,8,32.0,-21.74080697884559,21.74080697884559,0.721580834775545,0.7713672179196437,1.0884307088367777,0.8106067884600843,0.617566317065168
L1,local_radius_64s,4,3,12.0,17.391310020357505,17.391310020357505,0.7294641916939252,0.7703643857692277,0.8424911823502083,0.7470294087385428,0.7928245783339523
L1,local_radius_64s,5,10,40.0,17.302515723186847,17.302515723186847,0.7253368025094832,0.7132419467174592,1.232479659610567,0.865383253133927,0.7123391244017651
